function_name,latency,arch
compose-post,200.0,X86
compose-post,29.325485229492188,X86
compose-post,33.14018249511719,X86
compose-post,29.56390380859375,X86
compose-post,39.81590270996094,X86
compose-post,31.709671020507812,X86
compose-post,36.2396240234375,X86
compose-post,30.994415283203125,X86
compose-post,26.226043701171875,X86
compose-post,30.994415283203125,X86
compose-post,30.040740966796875,X86
compose-post,59.36622619628906,X86
compose-post,28.133392333984375,X86
compose-post,32.18650817871094,X86
compose-post,30.279159545898438,X86
compose-post,34.332275390625,X86
compose-post,30.040740966796875,X86
compose-post,34.332275390625,X86
compose-post,28.371810913085938,X86
compose-post,32.18650817871094,X86
compose-post,29.087066650390625,X86
compose-post,34.09385681152344,X86
compose-post,29.802322387695312,X86
compose-post,29.087066650390625,X86
compose-post,29.325485229492188,X86
compose-post,29.325485229492188,X86
compose-post,32.901763916015625,X86
compose-post,29.56390380859375,X86
compose-post,32.4249267578125,X86
compose-post,37.19329833984375,X86
compose-post,29.325485229492188,X86
compose-post,31.232833862304688,X86
compose-post,31.232833862304688,X86
compose-post,62.465667724609375,X86
compose-post,32.4249267578125,X86
compose-post,31.948089599609375,X86
compose-post,30.040740966796875,X86
compose-post,31.47125244140625,X86
compose-post,28.848648071289062,X86
compose-post,44.58427429199219,X86
compose-post,29.325485229492188,X86
compose-post,31.47125244140625,X86
compose-post,29.802322387695312,X86
compose-post,30.279159545898438,X86
compose-post,41.00799560546875,X86
compose-post,30.755996704101562,X86
compose-post,31.709671020507812,X86
compose-post,30.040740966796875,X86
compose-post,34.809112548828125,X86
compose-post,30.040740966796875,X86
compose-post,32.66334533691406,X86
compose-post,30.040740966796875,X86
compose-post,30.517578125,X86
compose-post,30.279159545898438,X86
compose-post,29.325485229492188,X86
compose-post,36.00120544433594,X86
compose-post,27.894973754882812,X86
compose-post,30.040740966796875,X86
compose-post,29.087066650390625,X86
compose-post,30.040740966796875,X86
compose-post,28.133392333984375,X86
compose-post,29.56390380859375,X86
compose-post,30.755996704101562,X86
compose-post,29.325485229492188,X86
compose-post,48.160552978515625,X86
compose-post,30.517578125,X86
compose-post,28.371810913085938,X86
compose-post,76.05552673339844,X86
compose-post,30.040740966796875,X86
compose-post,29.087066650390625,X86
compose-post,26.464462280273438,X86
compose-post,28.371810913085938,X86
compose-post,29.087066650390625,X86
compose-post,62.465667724609375,X86
compose-post,40.76957702636719,X86
compose-post,67.23403930664062,X86
compose-post,35.762786865234375,X86
compose-post,30.279159545898438,X86
compose-post,68.90296936035156,X86
compose-post,30.040740966796875,X86
compose-post,29.087066650390625,X86
compose-post,28.371810913085938,X86
compose-post,29.325485229492188,X86
compose-post,40.29273986816406,X86
compose-post,31.232833862304688,X86
compose-post,40.0543212890625,X86
compose-post,30.517578125,X86
compose-post,30.517578125,X86
compose-post,28.371810913085938,X86
compose-post,29.56390380859375,X86
compose-post,115.15617370605469,X86
compose-post,31.709671020507812,X86
compose-post,28.6102294921875,X86
compose-post,26.464462280273438,X86
compose-post,28.6102294921875,X86
compose-post,25.987625122070312,X86
compose-post,36.95487976074219,X86
compose-post,30.994415283203125,X86
compose-post,30.994415283203125,X86
compose-post,28.371810913085938,X86
compose-post,25.74920654296875,X86
compose-post,29.56390380859375,X86
compose-post,29.56390380859375,X86
compose-post,30.040740966796875,X86
compose-post,29.56390380859375,X86
compose-post,27.179718017578125,X86
compose-post,29.56390380859375,X86
compose-post,30.279159545898438,X86
compose-post,29.56390380859375,X86
compose-post,28.133392333984375,X86
compose-post,25.74920654296875,X86
compose-post,27.418136596679688,X86
compose-post,29.802322387695312,X86
compose-post,27.418136596679688,X86
compose-post,27.179718017578125,X86
compose-post,31.232833862304688,X86
compose-post,34.332275390625,X86
compose-post,29.325485229492188,X86
compose-post,29.802322387695312,X86
compose-post,29.802322387695312,X86
compose-post,26.464462280273438,X86
compose-post,39.577484130859375,X86
compose-post,30.994415283203125,X86
compose-post,27.894973754882812,X86
compose-post,28.848648071289062,X86
compose-post,25.987625122070312,X86
compose-post,28.6102294921875,X86
compose-post,28.133392333984375,X86
compose-post,28.6102294921875,X86
compose-post,30.994415283203125,X86
compose-post,28.848648071289062,X86
compose-post,29.325485229492188,X86
compose-post,29.56390380859375,X86
compose-post,29.325485229492188,X86
compose-post,27.179718017578125,X86
compose-post,39.81590270996094,X86
compose-post,28.6102294921875,X86
compose-post,26.464462280273438,X86
compose-post,29.56390380859375,X86
compose-post,26.464462280273438,X86
compose-post,25.510787963867188,X86
compose-post,29.56390380859375,X86
compose-post,27.418136596679688,X86
compose-post,29.802322387695312,X86
compose-post,40.29273986816406,X86
compose-post,30.755996704101562,X86
compose-post,30.517578125,X86
compose-post,29.087066650390625,X86
compose-post,28.848648071289062,X86
compose-post,28.6102294921875,X86
compose-post,30.040740966796875,X86
compose-post,30.517578125,X86
compose-post,30.517578125,X86
compose-post,30.279159545898438,X86
compose-post,28.371810913085938,X86
compose-post,27.418136596679688,X86
compose-post,32.4249267578125,X86
compose-post,30.755996704101562,X86
compose-post,30.517578125,X86
compose-post,29.56390380859375,X86
compose-post,31.232833862304688,X86
compose-post,30.517578125,X86
compose-post,37.670135498046875,X86
compose-post,30.517578125,X86
compose-post,30.755996704101562,X86
compose-post,31.232833862304688,X86
compose-post,30.755996704101562,X86
compose-post,31.709671020507812,X86
compose-post,30.040740966796875,X86
compose-post,30.040740966796875,X86
compose-post,29.802322387695312,X86
compose-post,32.66334533691406,X86
compose-post,30.755996704101562,X86
compose-post,29.802322387695312,X86
compose-post,28.848648071289062,X86
compose-post,30.517578125,X86
compose-post,27.894973754882812,X86
compose-post,30.517578125,X86
compose-post,31.47125244140625,X86
compose-post,29.087066650390625,X86
compose-post,29.56390380859375,X86
compose-post,29.325485229492188,X86
compose-post,38.14697265625,X86
compose-post,31.232833862304688,X86
compose-post,29.325485229492188,X86
compose-post,28.133392333984375,X86
compose-post,26.464462280273438,X86
compose-post,35.28594970703125,X86
compose-post,28.6102294921875,X86
compose-post,84.87701416015625,X86
compose-post,28.848648071289062,X86
compose-post,28.6102294921875,X86
compose-post,28.848648071289062,X86
compose-post,26.226043701171875,X86
compose-post,29.325485229492188,X86
compose-post,25.987625122070312,X86
compose-post,25.033950805664062,X86
compose-post,66.7572021484375,X86
compose-post,25.987625122070312,X86
compose-post,29.087066650390625,X86
compose-post,30.994415283203125,X86
compose-post,29.56390380859375,X86
compose-post,29.802322387695312,X86
compose-post,28.6102294921875,X86
compose-post,30.279159545898438,X86
compose-post,33.37860107421875,X86
compose-post,63.89617919921875,X86
compose-post,79.63180541992188,X86
compose-post,28.6102294921875,X86
compose-post,30.279159545898438,X86
compose-post,30.517578125,X86
compose-post,32.4249267578125,X86
compose-post,27.65655517578125,X86
compose-post,31.232833862304688,X86
compose-post,41.484832763671875,X86
compose-post,31.232833862304688,X86
compose-post,30.040740966796875,X86
compose-post,30.517578125,X86
compose-post,30.994415283203125,X86
compose-post,30.755996704101562,X86
compose-post,30.279159545898438,X86
compose-post,30.755996704101562,X86
compose-post,30.755996704101562,X86
compose-post,32.901763916015625,X86
compose-post,86.06910705566406,X86
compose-post,30.279159545898438,X86
compose-post,30.517578125,X86
compose-post,29.56390380859375,X86
compose-post,30.040740966796875,X86
compose-post,29.802322387695312,X86
compose-post,29.087066650390625,X86
compose-post,30.040740966796875,X86
compose-post,30.040740966796875,X86
compose-post,32.4249267578125,X86
compose-post,30.517578125,X86
compose-post,46.96846008300781,X86
compose-post,32.4249267578125,X86
compose-post,29.56390380859375,X86
compose-post,44.58427429199219,X86
compose-post,32.18650817871094,X86
compose-post,31.709671020507812,X86
compose-post,32.4249267578125,X86
compose-post,32.18650817871094,X86
compose-post,30.755996704101562,X86
compose-post,31.232833862304688,X86
compose-post,28.371810913085938,X86
compose-post,30.755996704101562,X86
compose-post,30.040740966796875,X86
compose-post,62.22724914550781,X86
compose-post,64.37301635742188,X86
compose-post,30.994415283203125,X86
compose-post,30.279159545898438,X86
compose-post,29.802322387695312,X86
compose-post,27.65655517578125,X86
compose-post,28.6102294921875,X86
compose-post,27.894973754882812,X86
compose-post,34.332275390625,X86
compose-post,28.133392333984375,X86
compose-post,27.179718017578125,X86
compose-post,30.040740966796875,X86
compose-post,27.418136596679688,X86
compose-post,29.325485229492188,X86
compose-post,27.65655517578125,X86
compose-post,25.74920654296875,X86
compose-post,31.47125244140625,X86
compose-post,109.19570922851562,X86
compose-post,29.56390380859375,X86
compose-post,25.987625122070312,X86
compose-post,29.087066650390625,X86
compose-post,28.848648071289062,X86
compose-post,27.894973754882812,X86
compose-post,29.56390380859375,X86
compose-post,27.179718017578125,X86
compose-post,25.987625122070312,X86
compose-post,30.279159545898438,X86
compose-post,28.371810913085938,X86
compose-post,30.517578125,X86
compose-post,30.279159545898438,X86
compose-post,31.232833862304688,X86
compose-post,28.848648071289062,X86
compose-post,26.226043701171875,X86
compose-post,89.40696716308594,X86
compose-post,28.371810913085938,X86
compose-post,31.232833862304688,X86
compose-post,28.848648071289062,X86
compose-post,27.179718017578125,X86
compose-post,28.371810913085938,X86
compose-post,29.087066650390625,X86
compose-post,27.65655517578125,X86
compose-post,29.087066650390625,X86
compose-post,24.557113647460938,X86
compose-post,35.04753112792969,X86
compose-post,29.56390380859375,X86
compose-post,29.56390380859375,X86
compose-post,28.848648071289062,X86
compose-post,26.702880859375,X86
compose-post,31.232833862304688,X86
compose-post,25.74920654296875,X86
compose-post,27.65655517578125,X86
compose-post,28.6102294921875,X86
compose-post,25.272369384765625,X86
compose-post,29.56390380859375,X86
compose-post,33.855438232421875,X86
compose-post,32.18650817871094,X86
compose-post,29.56390380859375,X86
compose-post,29.087066650390625,X86
compose-post,32.66334533691406,X86
compose-post,28.848648071289062,X86
compose-post,30.994415283203125,X86
compose-post,30.279159545898438,X86
compose-post,29.802322387695312,X86
compose-post,30.517578125,X86
compose-post,30.517578125,X86
compose-post,30.994415283203125,X86
compose-post,46.96846008300781,X86
compose-post,32.18650817871094,X86
compose-post,29.325485229492188,X86
compose-post,33.37860107421875,X86
compose-post,41.00799560546875,X86
compose-post,28.848648071289062,X86
compose-post,30.040740966796875,X86
compose-post,28.133392333984375,X86
compose-post,28.371810913085938,X86
compose-post,29.087066650390625,X86
compose-post,29.56390380859375,X86
compose-post,29.087066650390625,X86
compose-post,33.855438232421875,X86
compose-post,41.484832763671875,X86
compose-post,30.040740966796875,X86
compose-post,24.7955322265625,X86
compose-post,30.040740966796875,X86
compose-post,30.040740966796875,X86
compose-post,29.56390380859375,X86
compose-post,28.371810913085938,X86
compose-post,26.941299438476562,X86
compose-post,30.755996704101562,X86
compose-post,26.464462280273438,X86
compose-post,26.702880859375,X86
compose-post,29.325485229492188,X86
compose-post,148.0579376220703,X86
compose-post,31.232833862304688,X86
compose-post,29.087066650390625,X86
compose-post,28.371810913085938,X86
compose-post,29.325485229492188,X86
compose-post,30.994415283203125,X86
compose-post,30.994415283203125,X86
compose-post,30.755996704101562,X86
compose-post,33.37860107421875,X86
compose-post,31.47125244140625,X86
compose-post,31.232833862304688,X86
compose-post,30.279159545898438,X86
compose-post,27.894973754882812,X86
compose-post,32.901763916015625,X86
compose-post,30.040740966796875,X86
compose-post,31.47125244140625,X86
compose-post,30.994415283203125,X86
compose-post,26.464462280273438,X86
compose-post,30.517578125,X86
compose-post,63.419342041015625,X86
compose-post,45.06111145019531,X86
compose-post,30.279159545898438,X86
compose-post,38.623809814453125,X86
compose-post,33.855438232421875,X86
compose-post,30.994415283203125,X86
compose-post,30.040740966796875,X86
compose-post,30.994415283203125,X86
compose-post,29.087066650390625,X86
compose-post,88.93013000488281,X86
compose-post,30.994415283203125,X86
compose-post,33.37860107421875,X86
compose-post,31.709671020507812,X86
compose-post,28.848648071289062,X86
compose-post,30.040740966796875,X86
compose-post,46.253204345703125,X86
compose-post,64.61143493652344,X86
compose-post,37.19329833984375,X86
compose-post,30.517578125,X86
compose-post,32.901763916015625,X86
compose-post,35.28594970703125,X86
compose-post,30.040740966796875,X86
compose-post,26.464462280273438,X86
compose-post,43.63059997558594,X86
compose-post,30.040740966796875,X86
compose-post,30.994415283203125,X86
compose-post,29.802322387695312,X86
compose-post,31.47125244140625,X86
compose-post,29.087066650390625,X86
compose-post,26.941299438476562,X86
compose-post,34.809112548828125,X86
compose-post,28.371810913085938,X86
compose-post,37.670135498046875,X86
compose-post,30.040740966796875,X86
compose-post,66.99562072753906,X86
compose-post,29.802322387695312,X86
compose-post,30.517578125,X86
compose-post,29.087066650390625,X86
compose-post,40.531158447265625,X86
compose-post,32.18650817871094,X86
compose-post,31.709671020507812,X86
compose-post,29.087066650390625,X86
compose-post,31.47125244140625,X86
compose-post,30.755996704101562,X86
compose-post,31.948089599609375,X86
compose-post,29.802322387695312,X86
compose-post,30.755996704101562,X86
compose-post,60.31990051269531,X86
compose-post,26.464462280273438,X86
compose-post,30.994415283203125,X86
compose-post,33.855438232421875,X86
compose-post,35.28594970703125,X86
compose-post,29.087066650390625,X86
compose-post,32.4249267578125,X86
compose-post,31.47125244140625,X86
compose-post,25.272369384765625,X86
compose-post,52.45208740234375,X86
compose-post,28.848648071289062,X86
compose-post,37.90855407714844,X86
compose-post,30.755996704101562,X86
compose-post,31.47125244140625,X86
compose-post,28.371810913085938,X86
compose-post,32.901763916015625,X86
compose-post,29.56390380859375,X86
compose-post,36.95487976074219,X86
compose-post,29.802322387695312,X86
compose-post,34.09385681152344,X86
compose-post,30.994415283203125,X86
compose-post,30.040740966796875,X86
compose-post,48.87580871582031,X86
compose-post,28.6102294921875,X86
compose-post,30.517578125,X86
compose-post,30.517578125,X86
compose-post,32.18650817871094,X86
compose-post,30.517578125,X86
compose-post,32.66334533691406,X86
compose-post,31.709671020507812,X86
compose-post,28.6102294921875,X86
compose-post,33.855438232421875,X86
compose-post,28.6102294921875,X86
compose-post,39.81590270996094,X86
compose-post,29.087066650390625,X86
compose-post,31.47125244140625,X86
compose-post,30.279159545898438,X86
compose-post,30.755996704101562,X86
compose-post,30.040740966796875,X86
compose-post,34.809112548828125,X86
compose-post,30.755996704101562,X86
compose-post,26.702880859375,X86
compose-post,39.10064697265625,X86
compose-post,29.802322387695312,X86
compose-post,36.95487976074219,X86
compose-post,28.6102294921875,X86
compose-post,30.755996704101562,X86
compose-post,30.040740966796875,X86
compose-post,35.52436828613281,X86
compose-post,29.325485229492188,X86
compose-post,27.418136596679688,X86
compose-post,30.994415283203125,X86
compose-post,40.29273986816406,X86
compose-post,41.00799560546875,X86
compose-post,30.040740966796875,X86
compose-post,37.90855407714844,X86
compose-post,29.802322387695312,X86
compose-post,33.14018249511719,X86
compose-post,30.279159545898438,X86
compose-post,26.464462280273438,X86
compose-post,41.72325134277344,X86
compose-post,28.6102294921875,X86
compose-post,35.04753112792969,X86
compose-post,31.232833862304688,X86
compose-post,31.232833862304688,X86
compose-post,28.371810913085938,X86
compose-post,27.894973754882812,X86
compose-post,28.6102294921875,X86
compose-post,29.087066650390625,X86
compose-post,37.19329833984375,X86
compose-post,30.279159545898438,X86
compose-post,37.43171691894531,X86
compose-post,30.994415283203125,X86
compose-post,30.755996704101562,X86
compose-post,29.802322387695312,X86
compose-post,30.040740966796875,X86
compose-post,30.279159545898438,X86
compose-post,26.941299438476562,X86
compose-post,43.392181396484375,X86
compose-post,28.848648071289062,X86
compose-post,29.325485229492188,X86
compose-post,29.56390380859375,X86
compose-post,30.517578125,X86
compose-post,29.56390380859375,X86
compose-post,31.948089599609375,X86
compose-post,42.67692565917969,X86
compose-post,30.279159545898438,X86
compose-post,29.325485229492188,X86
compose-post,35.04753112792969,X86
compose-post,31.232833862304688,X86
compose-post,32.18650817871094,X86
compose-post,28.371810913085938,X86
compose-post,29.087066650390625,X86
compose-post,28.371810913085938,X86
compose-post,26.941299438476562,X86
compose-post,105.85784912109375,RISCV
compose-post,103.23524475097656,RISCV
compose-post,102.51998901367188,RISCV
compose-post,97.51319885253906,RISCV
compose-post,100.85105895996094,RISCV
compose-post,97.03636169433594,RISCV
compose-post,97.75161743164062,RISCV
compose-post,100.37422180175781,RISCV
compose-post,98.94371032714844,RISCV
compose-post,104.18891906738281,RISCV
compose-post,101.0894775390625,RISCV
compose-post,98.22845458984375,RISCV
compose-post,99.42054748535156,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.2747802734375,RISCV
compose-post,99.89738464355469,RISCV
compose-post,101.80473327636719,RISCV
compose-post,97.2747802734375,RISCV
compose-post,100.13580322265625,RISCV
compose-post,98.70529174804688,RISCV
compose-post,99.65896606445312,RISCV
compose-post,101.0894775390625,RISCV
compose-post,102.75840759277344,RISCV
compose-post,101.56631469726562,RISCV
compose-post,102.28157043457031,RISCV
compose-post,99.18212890625,RISCV
compose-post,98.46687316894531,RISCV
compose-post,98.94371032714844,RISCV
compose-post,97.99003601074219,RISCV
compose-post,98.70529174804688,RISCV
compose-post,96.79794311523438,RISCV
compose-post,96.79794311523438,RISCV
compose-post,96.55952453613281,RISCV
compose-post,100.61264038085938,RISCV
compose-post,99.65896606445312,RISCV
compose-post,100.37422180175781,RISCV
compose-post,96.08268737792969,RISCV
compose-post,97.99003601074219,RISCV
compose-post,100.13580322265625,RISCV
compose-post,97.51319885253906,RISCV
compose-post,99.65896606445312,RISCV
compose-post,98.46687316894531,RISCV
compose-post,97.03636169433594,RISCV
compose-post,99.65896606445312,RISCV
compose-post,98.22845458984375,RISCV
compose-post,100.37422180175781,RISCV
compose-post,99.18212890625,RISCV
compose-post,97.99003601074219,RISCV
compose-post,101.32789611816406,RISCV
compose-post,179.290771484375,RISCV
compose-post,98.46687316894531,RISCV
compose-post,98.94371032714844,RISCV
compose-post,103.71208190917969,RISCV
compose-post,104.18891906738281,RISCV
compose-post,100.13580322265625,RISCV
compose-post,100.37422180175781,RISCV
compose-post,200.0,RISCV
compose-post,99.89738464355469,RISCV
compose-post,95.60585021972656,RISCV
compose-post,99.18212890625,RISCV
compose-post,102.51998901367188,RISCV
compose-post,97.75161743164062,RISCV
compose-post,101.0894775390625,RISCV
compose-post,98.70529174804688,RISCV
compose-post,101.32789611816406,RISCV
compose-post,97.51319885253906,RISCV
compose-post,99.89738464355469,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.2747802734375,RISCV
compose-post,113.01040649414062,RISCV
compose-post,108.24203491210938,RISCV
compose-post,104.66575622558594,RISCV
compose-post,104.9041748046875,RISCV
compose-post,103.95050048828125,RISCV
compose-post,102.04315185546875,RISCV
compose-post,98.94371032714844,RISCV
compose-post,97.51319885253906,RISCV
compose-post,98.70529174804688,RISCV
compose-post,97.2747802734375,RISCV
compose-post,96.55952453613281,RISCV
compose-post,97.99003601074219,RISCV
compose-post,104.42733764648438,RISCV
compose-post,98.94371032714844,RISCV
compose-post,98.70529174804688,RISCV
compose-post,95.367431640625,RISCV
compose-post,98.22845458984375,RISCV
compose-post,104.9041748046875,RISCV
compose-post,103.95050048828125,RISCV
compose-post,99.65896606445312,RISCV
compose-post,104.42733764648438,RISCV
compose-post,101.0894775390625,RISCV
compose-post,100.13580322265625,RISCV
compose-post,103.23524475097656,RISCV
compose-post,104.9041748046875,RISCV
compose-post,103.47366333007812,RISCV
compose-post,100.37422180175781,RISCV
compose-post,102.28157043457031,RISCV
compose-post,104.42733764648438,RISCV
compose-post,107.76519775390625,RISCV
compose-post,110.38780212402344,RISCV
compose-post,119.44770812988281,RISCV
compose-post,106.57310485839844,RISCV
compose-post,105.14259338378906,RISCV
compose-post,103.95050048828125,RISCV
compose-post,113.96408081054688,RISCV
compose-post,110.14938354492188,RISCV
compose-post,115.39459228515625,RISCV
compose-post,111.10305786132812,RISCV
compose-post,110.86463928222656,RISCV
compose-post,105.14259338378906,RISCV
compose-post,101.32789611816406,RISCV
compose-post,102.75840759277344,RISCV
compose-post,120.87821960449219,RISCV
compose-post,116.58668518066406,RISCV
compose-post,108.24203491210938,RISCV
compose-post,117.77877807617188,RISCV
compose-post,113.72566223144531,RISCV
compose-post,108.95729064941406,RISCV
compose-post,101.80473327636719,RISCV
compose-post,104.42733764648438,RISCV
compose-post,97.99003601074219,RISCV
compose-post,101.0894775390625,RISCV
compose-post,102.51998901367188,RISCV
compose-post,100.85105895996094,RISCV
compose-post,96.55952453613281,RISCV
compose-post,99.89738464355469,RISCV
compose-post,98.70529174804688,RISCV
compose-post,105.38101196289062,RISCV
compose-post,99.65896606445312,RISCV
compose-post,96.79794311523438,RISCV
compose-post,95.84426879882812,RISCV
compose-post,98.22845458984375,RISCV
compose-post,96.32110595703125,RISCV
compose-post,97.75161743164062,RISCV
compose-post,99.65896606445312,RISCV
compose-post,99.18212890625,RISCV
compose-post,100.13580322265625,RISCV
compose-post,100.85105895996094,RISCV
compose-post,100.13580322265625,RISCV
compose-post,98.46687316894531,RISCV
compose-post,105.14259338378906,RISCV
compose-post,98.46687316894531,RISCV
compose-post,98.46687316894531,RISCV
compose-post,98.94371032714844,RISCV
compose-post,98.94371032714844,RISCV
compose-post,100.85105895996094,RISCV
compose-post,98.94371032714844,RISCV
compose-post,103.47366333007812,RISCV
compose-post,102.04315185546875,RISCV
compose-post,99.18212890625,RISCV
compose-post,97.75161743164062,RISCV
compose-post,99.65896606445312,RISCV
compose-post,99.65896606445312,RISCV
compose-post,97.99003601074219,RISCV
compose-post,100.61264038085938,RISCV
compose-post,99.42054748535156,RISCV
compose-post,102.51998901367188,RISCV
compose-post,100.13580322265625,RISCV
compose-post,98.70529174804688,RISCV
compose-post,100.13580322265625,RISCV
compose-post,98.70529174804688,RISCV
compose-post,98.46687316894531,RISCV
compose-post,101.32789611816406,RISCV
compose-post,99.65896606445312,RISCV
compose-post,97.75161743164062,RISCV
compose-post,98.94371032714844,RISCV
compose-post,98.22845458984375,RISCV
compose-post,97.51319885253906,RISCV
compose-post,95.84426879882812,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.99003601074219,RISCV
compose-post,170.23086547851562,RISCV
compose-post,98.94371032714844,RISCV
compose-post,100.85105895996094,RISCV
compose-post,97.99003601074219,RISCV
compose-post,100.37422180175781,RISCV
compose-post,95.84426879882812,RISCV
compose-post,102.04315185546875,RISCV
compose-post,103.95050048828125,RISCV
compose-post,106.33468627929688,RISCV
compose-post,112.29515075683594,RISCV
compose-post,177.3834228515625,RISCV
compose-post,110.38780212402344,RISCV
compose-post,187.87384033203125,RISCV
compose-post,102.996826171875,RISCV
compose-post,125.64659118652344,RISCV
compose-post,126.60026550292969,RISCV
compose-post,122.0703125,RISCV
compose-post,107.04994201660156,RISCV
compose-post,102.51998901367188,RISCV
compose-post,127.07710266113281,RISCV
compose-post,108.24203491210938,RISCV
compose-post,115.15617370605469,RISCV
compose-post,126.36184692382812,RISCV
compose-post,112.29515075683594,RISCV
compose-post,117.06352233886719,RISCV
compose-post,113.96408081054688,RISCV
compose-post,121.83189392089844,RISCV
compose-post,115.63301086425781,RISCV
compose-post,120.40138244628906,RISCV
compose-post,114.20249938964844,RISCV
compose-post,112.5335693359375,RISCV
compose-post,107.76519775390625,RISCV
compose-post,109.19570922851562,RISCV
compose-post,108.48045349121094,RISCV
compose-post,107.04994201660156,RISCV
compose-post,104.18891906738281,RISCV
compose-post,200.0,RISCV
compose-post,120.1629638671875,RISCV
compose-post,127.55393981933594,RISCV
compose-post,138.0443572998047,RISCV
compose-post,122.30873107910156,RISCV
compose-post,113.72566223144531,RISCV
compose-post,113.96408081054688,RISCV
compose-post,116.10984802246094,RISCV
compose-post,113.48724365234375,RISCV
compose-post,133.514404296875,RISCV
compose-post,124.21607971191406,RISCV
compose-post,114.44091796875,RISCV
compose-post,116.3482666015625,RISCV
compose-post,125.64659118652344,RISCV
compose-post,104.18891906738281,RISCV
compose-post,111.81831359863281,RISCV
compose-post,148.53477478027344,RISCV
compose-post,117.54035949707031,RISCV
